Datum,Marktantiel
26.06.2009,85.64
29.06.2009,85.4355
30.06.2009,85.27
01.07.2009,85.079
02.07.2009,85.0155
03.07.2009,84.8725
06.07.2009,84.7605
07.07.2009,84.7565
08.07.2009,84.343
09.07.2009,84.274
10.07.2009,84.251
13.07.2009,84.065
14.07.2009,83.888
15.07.2009,83.841
16.07.2009,83.652
17.07.2009,83.2815
20.07.2009,83.1645
21.07.2009,83.132
22.07.2009,83.1705
23.07.2009,83.092
24.07.2009,82.8615
27.07.2009,82.802
28.07.2009,82.6805
29.07.2009,82.6885
30.07.2009,82.6375
31.07.2009,82.4435
03.08.2009,82.4175
04.08.2009,82.397
05.08.2009,82.449
06.08.2009,82.216
07.08.2009,82.297
10.08.2009,82.304
11.08.2009,82.2795
12.08.2009,82.236
13.08.2009,82.112
14.08.2009,82.152
17.08.2009,82.3125
18.08.2009,82.4125
19.08.2009,82.2745
20.08.2009,82.41
21.08.2009,82.619
24.08.2009,82.6035
25.08.2009,82.7015
26.08.2009,82.734
27.08.2009,82.623
28.08.2009,82.7195
31.08.2009,82.928
01.09.2009,82.9135
02.09.2009,82.9665
03.09.2009,83.0995
04.09.2009,82.951
07.09.2009,82.8775
08.09.2009,82.895
09.09.2009,82.6695
10.09.2009,82.5755
11.09.2009,82.28
14.09.2009,81.9875
15.09.2009,81.9615
16.09.2009,81.765
17.09.2009,81.4615
18.09.2009,81.8115
21.09.2009,81.69
22.09.2009,81.6795
23.09.2009,81.5785
24.09.2009,81.575
25.09.2009,81.542
28.09.2009,81.1605
29.09.2009,81.059
30.09.2009,81.0095
01.10.2009,80.886
02.10.2009,80.8805
05.10.2009,80.8795
06.10.2009,80.82
07.10.2009,80.917
08.10.2009,80.9845
09.10.2009,81.1645
12.10.2009,81.231
13.10.2009,81.048
14.10.2009,81.069
15.10.2009,81.287
16.10.2009,80.8585
19.10.2009,81.009
20.10.2009,81.0265
21.10.2009,81.0685
22.10.2009,81.116
23.10.2009,81.082
26.10.2009,81.1665
27.10.2009,81.259
28.10.2009,81.263
29.10.2009,81.3315
30.10.2009,81.259
02.11.2009,81.3045
03.11.2009,81.3565
04.11.2009,81.3765
05.11.2009,81.4395
06.11.2009,81.433
09.11.2009,81.6405
10.11.2009,81.897
11.11.2009,82.064
12.11.2009,81.495
13.11.2009,81.4625
16.11.2009,81.383
17.11.2009,81.4105
18.11.2009,81.429
19.11.2009,81.37
20.11.2009,81.51
23.11.2009,81.6055
24.11.2009,81.6665
25.11.2009,81.692
26.11.2009,81.7595
27.11.2009,81.8945
30.11.2009,82.1245
01.12.2009,82.254
02.12.2009,82.4845
03.12.2009,82.58
04.12.2009,82.7075
07.12.2009,82.709
08.12.2009,82.7795
09.12.2009,82.8105
10.12.2009,83.451
11.12.2009,83.5645
14.12.2009,83.6815
15.12.2009,83.778
16.12.2009,83.925
17.12.2009,84.156
18.12.2009,84.428
21.12.2009,84.4685
22.12.2009,84.601
23.12.2009,84.716
28.12.2009,84.881
29.12.2009,84.8465
30.12.2009,84.8065
04.01.2010,84.938
05.01.2010,84.844
06.01.2010,84.865
07.01.2010,84.883
08.01.2010,84.769
11.01.2010,84.73
12.01.2010,84.6015
13.01.2010,84.5225
14.01.2010,84.439
15.01.2010,84.4445
18.01.2010,84.4205
19.01.2010,84.229
20.01.2010,83.873
21.01.2010,83.225
22.01.2010,82.7835
25.01.2010,82.358
26.01.2010,81.856
27.01.2010,81.3905
28.01.2010,81.027
29.01.2010,80.568
01.02.2010,80.108
02.02.2010,79.807
03.02.2010,79.425
04.02.2010,79.035
05.02.2010,78.8395
08.02.2010,78.402
09.02.2010,78.0845
10.02.2010,77.6845
11.02.2010,77.37
12.02.2010,76.9035
15.02.2010,76.6605
16.02.2010,76.3875
17.02.2010,76.2895
18.02.2010,76.244
19.02.2010,76.953
22.02.2010,76.721
23.02.2010,76.6945
24.02.2010,76.4455
25.02.2010,76.3535
26.02.2010,76.393
01.03.2010,76.448
02.03.2010,76.36
03.03.2010,76.272
04.03.2010,76.2705
05.03.2010,76.0245
08.03.2010,75.918
09.03.2010,75.8715
10.03.2010,75.764
11.03.2010,75.5615
12.03.2010,75.3665
15.03.2010,75.0865
16.03.2010,74.77
17.03.2010,74.59
18.03.2010,74.387
19.03.2010,74.1805
22.03.2010,74.272
23.03.2010,74.167
24.03.2010,74.2355
25.03.2010,74.192
26.03.2010,73.9975
29.03.2010,73.809
30.03.2010,73.681
31.03.2010,73.812
01.04.2010,73.822
06.04.2010,73.8075
07.04.2010,73.763
08.04.2010,73.7025
09.04.2010,73.593
12.04.2010,73.4875
13.04.2010,73.5065
14.04.2010,73.2885
15.04.2010,73.3745
16.04.2010,73.7315
19.04.2010,73.7435
20.04.2010,73.1115
21.04.2010,73.0095
22.04.2010,72.9075
23.04.2010,72.9075
26.04.2010,72.9405
27.04.2010,72.848
28.04.2010,72.818
29.04.2010,72.878
30.04.2010,72.7655
03.05.2010,72.879
04.05.2010,72.9805
05.05.2010,73.024
06.05.2010,72.9655
07.05.2010,73.1155
10.05.2010,73.3495
11.05.2010,73.374
12.05.2010,73.6725
14.05.2010,73.714
17.05.2010,73.402
18.05.2010,73.5025
19.05.2010,73.5815
20.05.2010,73.5985
21.05.2010,73.8675
25.05.2010,73.7715
26.05.2010,73.7285
27.05.2010,73.727
28.05.2010,73.582
31.05.2010,73.9195
01.06.2010,73.834
02.06.2010,73.4715
03.06.2010,73.34
04.06.2010,73.2555
07.06.2010,73.191
08.06.2010,73.0635
09.06.2010,72.947
10.06.2010,72.817
11.06.2010,72.552
14.06.2010,72.47
15.06.2010,72.3425
16.06.2010,72.068
17.06.2010,71.9065
18.06.2010,72.561
21.06.2010,72.3685
22.06.2010,72.215
23.06.2010,71.913
24.06.2010,71.798
25.06.2010,71.5855
28.06.2010,70.907
29.06.2010,70.757
30.06.2010,70.6525
01.07.2010,70.4375
02.07.2010,70.2495
05.07.2010,70.657
06.07.2010,70.7415
07.07.2010,70.6855
08.07.2010,70.686
09.07.2010,70.7
12.07.2010,70.6205
13.07.2010,70.6095
14.07.2010,70.6455
15.07.2010,70.591
16.07.2010,69.937
19.07.2010,69.6595
20.07.2010,69.6255
21.07.2010,69.772
22.07.2010,69.7655
23.07.2010,69.893
26.07.2010,70.077
27.07.2010,70.0955
28.07.2010,70.096
29.07.2010,70.3375
30.07.2010,70.505
02.08.2010,70.045
03.08.2010,70.0085
04.08.2010,70.0215
05.08.2010,70.108
06.08.2010,70.0945
09.08.2010,70.247
10.08.2010,70.216
11.08.2010,70.2815
12.08.2010,70.26
13.08.2010,70.0245
16.08.2010,70.0965
17.08.2010,70.1435
18.08.2010,70.043
19.08.2010,70.137
20.08.2010,70.3225
23.08.2010,70.3665
24.08.2010,70.588
25.08.2010,70.6975
26.08.2010,70.6485
27.08.2010,70.7565
30.08.2010,71.137
31.08.2010,71.397
01.09.2010,71.3375
02.09.2010,71.2275
03.09.2010,71.1925
06.09.2010,71.127
07.09.2010,71.1985
08.09.2010,71.1045
09.09.2010,71.0605
10.09.2010,71.193
13.09.2010,71.328
14.09.2010,71.399
15.09.2010,71.541
16.09.2010,71.5115
17.09.2010,71.7675
20.09.2010,71.629
21.09.2010,71.3445
22.09.2010,71.223
23.09.2010,71.087
24.09.2010,70.9325
27.09.2010,70.631
28.09.2010,70.263
29.09.2010,70.1615
30.09.2010,70.256
01.10.2010,70.2585
04.10.2010,70.119
05.10.2010,70.031
06.10.2010,70.0225
07.10.2010,70.15
08.10.2010,70.0135
11.10.2010,69.8275
12.10.2010,69.607
13.10.2010,69.474
14.10.2010,69.345
15.10.2010,69.069
18.10.2010,69.001
19.10.2010,68.976
20.10.2010,68.989
21.10.2010,68.9365
22.10.2010,68.8835
25.10.2010,68.9
26.10.2010,68.995
27.10.2010,68.887
28.10.2010,68.8605
29.10.2010,68.9725
01.11.2010,69.266
02.11.2010,69.3815
03.11.2010,69.426
04.11.2010,69.37
05.11.2010,69.379
08.11.2010,69.553
09.11.2010,69.623
10.11.2010,69.7175
11.11.2010,69.681
12.11.2010,69.523
15.11.2010,69.5835
16.11.2010,69.6985
17.11.2010,69.809
18.11.2010,69.9195
19.11.2010,69.988
22.11.2010,69.814
23.11.2010,69.705
24.11.2010,69.7915
25.11.2010,69.808
26.11.2010,69.8245
29.11.2010,69.697
30.11.2010,69.923
01.12.2010,69.87
02.12.2010,69.8655
03.12.2010,69.8975
06.12.2010,69.8695
07.12.2010,69.9065
08.12.2010,69.908
09.12.2010,70.0895
10.12.2010,70.0595
13.12.2010,69.9745
14.12.2010,69.966
15.12.2010,69.5985
16.12.2010,69.478
17.12.2010,70.043
20.12.2010,70.3395
21.12.2010,70.4495
22.12.2010,70.7945
23.12.2010,70.9225
27.12.2010,71.2525
28.12.2010,71.3545
29.12.2010,71.1805
30.12.2010,71.3795
03.01.2011,71.663
04.01.2011,71.6575
05.01.2011,71.543
06.01.2011,71.5415
07.01.2011,71.326
10.01.2011,71.101
11.01.2011,71.1555
12.01.2011,71.054
13.01.2011,70.7945
14.01.2011,70.823
17.01.2011,70.9635
18.01.2011,70.2135
19.01.2011,69.928
20.01.2011,69.7785
21.01.2011,69.7865
24.01.2011,69.5155
25.01.2011,68.9245
26.01.2011,68.7085
27.01.2011,68.465
28.01.2011,68.3315
31.01.2011,68.0365
01.02.2011,67.9125
02.02.2011,67.86
03.02.2011,67.769
04.02.2011,67.924
07.02.2011,68.0675
08.02.2011,68.0585
09.02.2011,68.275
10.02.2011,68.351
11.02.2011,68.488
14.02.2011,68.493
15.02.2011,68.6325
16.02.2011,68.756
17.02.2011,68.811
18.02.2011,69.329
21.02.2011,69.5415
22.02.2011,69.7925
23.02.2011,69.7515
24.02.2011,69.85
25.02.2011,69.847
28.02.2011,69.9415
01.03.2011,70.004
02.03.2011,70.141
03.03.2011,70.282
04.03.2011,70.356
07.03.2011,70.3055
08.03.2011,70.2125
09.03.2011,70.04
10.03.2011,70.2255
11.03.2011,70.3315
14.03.2011,70.2965
15.03.2011,70.266
16.03.2011,70.181
17.03.2011,70.2115
18.03.2011,70.0185
21.03.2011,69.824
22.03.2011,69.6255
23.03.2011,69.666
24.03.2011,69.5605
25.03.2011,69.3845
28.03.2011,69.1295
29.03.2011,69.046
30.03.2011,69.0245
31.03.2011,69.0195
01.04.2011,68.9565
04.04.2011,68.899
05.04.2011,68.7095
06.04.2011,68.4815
07.04.2011,68.089
08.04.2011,67.882
11.04.2011,67.5565
12.04.2011,67.4505
13.04.2011,67.2765
14.04.2011,66.9445
15.04.2011,66.8305
18.04.2011,66.693
19.04.2011,66.5365
20.04.2011,66.414
21.04.2011,66.3375
26.04.2011,66.3585
27.04.2011,66.399
28.04.2011,66.4855
29.04.2011,66.6305
02.05.2011,66.6215
03.05.2011,66.6515
04.05.2011,66.563
05.05.2011,66.7405
06.05.2011,66.8915
09.05.2011,67.0865
10.05.2011,67.2175
11.05.2011,67.6595
12.05.2011,67.8195
13.05.2011,67.9875
16.05.2011,68.377
17.05.2011,67.874
18.05.2011,67.994
19.05.2011,68.1685
20.05.2011,68.649
23.05.2011,68.8365
24.05.2011,68.8865
25.05.2011,68.971
26.05.2011,69.0605
27.05.2011,69.0265
30.05.2011,69.42
31.05.2011,69.747
01.06.2011,69.9525
03.06.2011,69.867
06.06.2011,70.001
07.06.2011,70.1805
08.06.2011,70.327
09.06.2011,70.1585
10.06.2011,70.0855
14.06.2011,70.022
15.06.2011,69.9935
16.06.2011,70.0185
17.06.2011,70.4595
20.06.2011,70.4055
21.06.2011,70.0615
22.06.2011,69.899
23.06.2011,70.0095
24.06.2011,70.0085
27.06.2011,69.938
28.06.2011,69.824
29.06.2011,69.243
30.06.2011,69.0655
01.07.2011,69.0185
04.07.2011,69.2105
05.07.2011,69.207
06.07.2011,69.045
07.07.2011,68.7195
08.07.2011,68.5385
11.07.2011,68.4035
12.07.2011,68.3075
13.07.2011,68.0305
14.07.2011,67.855
15.07.2011,67.614
18.07.2011,67.762
19.07.2011,67.7025
20.07.2011,67.6315
21.07.2011,67.3965
22.07.2011,67.209
25.07.2011,67.1385
26.07.2011,66.9985
27.07.2011,67.157
28.07.2011,66.873
29.07.2011,66.898
02.08.2011,66.8345
03.08.2011,66.7695
04.08.2011,66.917
05.08.2011,67.249
08.08.2011,67.4115
09.08.2011,67.574
10.08.2011,67.667
11.08.2011,67.7235
12.08.2011,67.723
15.08.2011,67.5315
16.08.2011,67.4105
17.08.2011,67.331
18.08.2011,67.4235
19.08.2011,67.7325
22.08.2011,67.939
23.08.2011,67.937
24.08.2011,67.8325
25.08.2011,67.776
26.08.2011,67.785
29.08.2011,67.792
30.08.2011,67.869
31.08.2011,68.116
01.09.2011,68.015
02.09.2011,67.8675
05.09.2011,67.9215
06.09.2011,67.75
07.09.2011,67.8115
08.09.2011,67.806
09.09.2011,67.8945
12.09.2011,67.9665
13.09.2011,67.8285
14.09.2011,67.9505
15.09.2011,67.8985
16.09.2011,68.572
19.09.2011,68.398
20.09.2011,68.35
21.09.2011,68.334
22.09.2011,68.2075
23.09.2011,68.122
26.09.2011,67.8415
27.09.2011,67.652
28.09.2011,67.385
29.09.2011,67.3885
30.09.2011,67.435
03.10.2011,67.2205
04.10.2011,67.1675
05.10.2011,67.075
06.10.2011,67.02
07.10.2011,66.92
10.10.2011,66.86
11.10.2011,67.1435
12.10.2011,67.1535
13.10.2011,67.164
14.10.2011,66.2365
17.10.2011,66.29
18.10.2011,66.3385
19.10.2011,66.46
20.10.2011,66.581
21.10.2011,67.0765
24.10.2011,67.318
25.10.2011,67.4555
26.10.2011,67.551
27.10.2011,67.603
28.10.2011,67.512
31.10.2011,67.812
01.11.2011,67.9445
02.11.2011,67.9175
03.11.2011,67.901
04.11.2011,67.786
07.11.2011,67.6245
08.11.2011,67.4655
09.11.2011,67.2465
10.11.2011,67.1545
11.11.2011,67.2245
14.11.2011,67.211
15.11.2011,67.078
16.11.2011,66.999
17.11.2011,66.6965
18.11.2011,66.2605
21.11.2011,66.143
22.11.2011,65.9885
23.11.2011,65.9465
24.11.2011,65.875
25.11.2011,65.7155
28.11.2011,65.4755
29.11.2011,65.151
30.11.2011,65.379
01.12.2011,65.332
02.12.2011,65.251
05.12.2011,65.2515
06.12.2011,65.317
07.12.2011,65.2505
08.12.2011,65.2275
09.12.2011,65.0455
12.12.2011,65.044
13.12.2011,65.1955
14.12.2011,65.268
15.12.2011,65.445
16.12.2011,65.8565
19.12.2011,65.741
20.12.2011,65.7175
21.12.2011,65.549
22.12.2011,65.516
23.12.2011,65.7645
27.12.2011,65.9915
28.12.2011,66.2425
29.12.2011,65.8765
30.12.2011,66.1855
03.01.2012,66.458
04.01.2012,66.4755
05.01.2012,66.208
06.01.2012,66.256
09.01.2012,66.1365
10.01.2012,65.931
11.01.2012,65.782
12.01.2012,65.659
13.01.2012,65.456
16.01.2012,65.524
17.01.2012,65.1135
18.01.2012,65.1905
19.01.2012,65.218
20.01.2012,65.4165
23.01.2012,65.4065
24.01.2012,65.201
25.01.2012,64.783
26.01.2012,64.6845
27.01.2012,64.8285
30.01.2012,64.7255
31.01.2012,64.7515
01.02.2012,64.6585
02.02.2012,64.7005
03.02.2012,64.873
06.02.2012,65.3025
07.02.2012,65.596
08.02.2012,65.6265
09.02.2012,65.5875
10.02.2012,65.613
13.02.2012,65.6615
14.02.2012,65.686
15.02.2012,65.6165
16.02.2012,65.63
17.02.2012,66.5365
20.02.2012,66.392
21.02.2012,66.462
22.02.2012,66.487
23.02.2012,66.4575
24.02.2012,66.463
27.02.2012,66.491
28.02.2012,66.2365
29.02.2012,66.3765
01.03.2012,66.374
02.03.2012,66.254
05.03.2012,66.04
06.03.2012,66.0875
07.03.2012,66.1085
08.03.2012,66.334
09.03.2012,66.611
12.03.2012,66.4985
13.03.2012,66.445
14.03.2012,66.601
15.03.2012,66.6215
16.03.2012,66.5455
19.03.2012,66.484
20.03.2012,66.513
21.03.2012,66.664
22.03.2012,66.8805
23.03.2012,66.851
26.03.2012,66.757
27.03.2012,66.9305
28.03.2012,66.9065
29.03.2012,67.078
30.03.2012,67.217
02.04.2012,67.2785
03.04.2012,67.2535
04.04.2012,67.359
05.04.2012,67.252
10.04.2012,67.168
11.04.2012,67.1315
12.04.2012,67.1135
13.04.2012,67.06
16.04.2012,66.981
17.04.2012,65.9975
18.04.2012,66.1075
19.04.2012,65.9805
20.04.2012,66.3485
23.04.2012,66.294
24.04.2012,66.3375
25.04.2012,66.3295
26.04.2012,66.4
27.04.2012,66.5105
30.04.2012,66.646
02.05.2012,66.6295
03.05.2012,66.5265
04.05.2012,66.6585
07.05.2012,66.8905
08.05.2012,66.9215
09.05.2012,66.9625
10.05.2012,67.1355
11.05.2012,67.194
14.05.2012,67.2615
15.05.2012,67.2065
16.05.2012,67.228
18.05.2012,67.5145
21.05.2012,67.5875
22.05.2012,67.255
23.05.2012,67.217
24.05.2012,66.9945
25.05.2012,66.939
29.05.2012,66.7915
30.05.2012,66.7675
31.05.2012,66.8625
01.06.2012,66.8185
04.06.2012,66.9825
05.06.2012,66.907
06.06.2012,66.6425
07.06.2012,66.622
08.06.2012,66.548
11.06.2012,66.5435
12.06.2012,66.428
13.06.2012,66.8425
14.06.2012,67.0315
15.06.2012,67.9485
18.06.2012,67.531
19.06.2012,67.4955
20.06.2012,67.3225
21.06.2012,67.161
22.06.2012,67.1835
25.06.2012,67.26
26.06.2012,66.9295
27.06.2012,66.7805
28.06.2012,66.2335
29.06.2012,66.3635
02.07.2012,66.149
03.07.2012,66.089
04.07.2012,66.1395
05.07.2012,66.0105
06.07.2012,65.9145
09.07.2012,65.694
10.07.2012,65.661
11.07.2012,64.98
12.07.2012,64.9875
13.07.2012,63.995
16.07.2012,64.1155
17.07.2012,64.1545
18.07.2012,64.273
19.07.2012,64.467
20.07.2012,64.7055
23.07.2012,64.677
24.07.2012,64.9325
25.07.2012,65.0635
26.07.2012,65.2455
27.07.2012,65.0155
30.07.2012,65.1555
31.07.2012,65.3
02.08.2012,65.178
03.08.2012,65.1435
06.08.2012,65.179
07.08.2012,65.2895
08.08.2012,65.3945
09.08.2012,65.5255
10.08.2012,65.2745
13.08.2012,65.2575
14.08.2012,65.415
15.08.2012,65.46
16.08.2012,65.452
17.08.2012,65.5015
20.08.2012,65.572
21.08.2012,65.585
22.08.2012,65.6795
23.08.2012,65.5905
24.08.2012,65.524
27.08.2012,65.7635
28.08.2012,65.7415
29.08.2012,65.5275
30.08.2012,65.6595
31.08.2012,66.1195
03.09.2012,66.37
04.09.2012,66.4375
05.09.2012,66.5115
06.09.2012,66.621
07.09.2012,66.7015
10.09.2012,66.7515
11.09.2012,66.6205
12.09.2012,66.5825
13.09.2012,66.6335
14.09.2012,66.5585
17.09.2012,66.4625
18.09.2012,66.453
19.09.2012,66.59
20.09.2012,66.7195
21.09.2012,67.656
24.09.2012,67.5435
25.09.2012,67.687
26.09.2012,67.8435
27.09.2012,67.7395
28.09.2012,67.4145
01.10.2012,67.19
02.10.2012,67.0635
03.10.2012,67.08
04.10.2012,66.969
05.10.2012,66.914
08.10.2012,66.9645
09.10.2012,67.0605
